,prompt,prompt_len,target
773,Putin Says Russia Has ‘Many Friends’ in U.S. Who Can Mend Relations.,19,0
774,"In a Test of Wills, Japanese Fighter Pilots Confront Chinese .",13,0
775,"Pamela Tiffin, Movie Star Who Shone Brightly but Briefly, Dies at 78.",21,0
776,Venezuela’s Opposition Struggles for Unity.,10,0
777,"Mustache Intact, Salvador Dalí’s Remains Are Exhumed in Paternity Suit.",21,0
778,Americans Shot in Mexico Were C.I.A. Operatives Aiding in Drug War.,20,0
779,Adding to Unease of a Drug War Alliance.,11,0
780,"Peace Activists Descend on Los Alamos, but Residents Remain Indifferent.",17,0
781,"With 1.2 Billion People, India Seeks a Good Hangman.",17,0
782,Soros Foundations Leaving Hungary Under Government Pressure.,10,0
783,South Korea Drops Its Call for Apology From North.,12,0
784,Australian Teenager’s Attack on Police Worker Called Act of Terrorism.,15,0
785,"Pakistani Government Salvages Coalition, but at a Steep Price.",14,0
786,Syrian Leader Hit With European Sanctions.,9,0
787,Palestinian Police Kill Israeli Visiting West Bank Holy Site.,11,0
788,"In Graft Inquiry, Benjamin Netanyahu’s Worst Enemy May Be Himself.",16,0
789,"Juan Guaidó Returns to Venezuela, Facing Threat of Arrest.",14,0
790,Drone Pilots Are Found to Get Stress Disorders Much as Those in Combat Do.,16,0
791,"Herman Wallace, Freed After 41 Years in Solitary, Dies at 71.",20,0
792,Philippine Law Would Make 9-Year-Olds Criminally Liable.,17,0
793,"After Forming Deep Roots in U.S., Man Discovers He Isn’t a Citizen.",20,0
794,Worry in Tunisia Over Youths Who Turn to Jihad.,13,0
795,Tunisian Islamic Party Re-elects Moderate Leader.,12,0
796,Dalai Lama Donates to Center in Wisconsin.,11,0
797,"In Thailand’s Schools, Vestiges of Military Rule.",13,0
798,Airline Screening Plan Wins Tentative Praise.,9,0
799,European Leaders Agree to Use Bailout Fund to Aid Banks.,13,0
800,U.S. to Decide Soon on Restoring Military Aid to Egypt.,16,0
801,Clinton Warns China on Iran Sanctions.,9,0
802,Another Chance for Bipartisan Achievement Slips Away.,11,0
803,U.N. to End Some Deals for Food to Somalia.,14,0
804,Hundreds of Syrians Are Turned Back at Beirut Airport.,11,0
805,"Ousted Greek Prime Minister Pushes for a New Party Leader, Perhaps Himself .",17,0
806,Purple Heart to Be Awarded to Victims at Fort Hood.,12,0
807,Trump Administration Imposes New Sanctions on Putin Cronies.,12,0
808,Merkel’s Party Is Defeated in Election in Hamburg.,14,0
809,Global Research Awards Showcase China’s Gains and Efforts to Retain Scientists.,16,0
810,"As Malaysia Moves to Ban ‘Fake News,’ Worries About Who Decides the Truth.",19,0
811,Downturn Does Little to Slow Migration.,10,0
812,Kerry and Albright Ask Courts to Keep Blocking Trump’s Travel Ban.,15,0
813,U.K. Conservative Party Scolded for Rebranding Twitter Account.,16,0
814,U.S. Pivots Eastward to Address Uneasy Allies.,15,0
815,No Charges in Sexual Abuse Case Involving French Peacekeepers.,13,0
816,Video of Mexican Prison Riot Highlights a Crisis as Elections Near.,13,0
817,Sponsor of Flotilla Tied to Elite of Turkey.,11,0
818,Kazakhstan Is Accused of Abusing Oil Workers.,11,0
819,"In Home Village of Girl Who Died in U.S. Custody, Poverty Drives Migration.",19,0
820,"Italian Inmates Sip, Smell and Taste Their Way to Rehabilitation.",14,0
821,Germans Eager to See Whose Parade a Carnival Float Will Rain On.,15,0
822,"Stirling Moss, One of the Greatest Drivers of All Time, Dies at 90.",20,0
823,"In Sharp Change, Britain Will Reduce Child Benefits for the Middle Class.",15,0
824,Thai Court Seizes $1.4 Billion From Ex-Premier.,15,0
825,"As Google Fills In Blank, a German Cries Foul.",14,0
826,Blasts Kill Dozens at Cafe and Restaurant North of Baghdad.,14,0
827,Trump Administration Plans to Sell More Than $2 Billion of Arms to Taiwan.,16,0
828,"Amid Mass Protests, Syrian Cease-Fire Is Tested by Reports of Clashes.",19,0
829,Solar-Powered Plane Flies for 26 Hours.,12,0
830,George Orwell Gets an Apology for a Rejection Letter (but Not for His Marmalade Recipe).,20,0
831,Obama Set to Offer Stricter Nuclear Deal to Iran.,12,0
832,"$2.5 Billion in Storm Losses, but Don’t Ask Georgia Farmers About Climate Change.",21,0
833,Britain Will Force Convicted Rioters to Clean Up.,13,0
834,Petraeus Sees Military Progress in Afghanistan.,9,0
835,Leaders’ Lavishness Gives Rise to ‘Lifestyle Audits’.,12,0
836,"After Big Ben Rings Out, the Sound of Silence in London.",14,0
837,"Nigel Farage, Brexit Party Leader, Says He Won’t Run in Election.",18,0
838,A Russian Lake’s Future Hangs on Tourists and Toilets.,15,0
839,Exiled Pedophile Priest May Have Continued Abuse.,11,0
840,"At a 9/11 Site, a ‘Last Funeral’.",15,0
841,ISIS-Linked Indonesian Jail Riot Ends as Police Raid Cellblock.,14,0
842,Resignations in Japan Set Back Hopes for Women in Political Power.,15,0
843,"No Jail Time Is Being Sought for Bowe Bergdahl, Lawyer Says.",17,0
844,"A Hole in North Korean Sanctions Big Enough for Coal, Oil and Used Pianos.",18,0
845,How Marches in Washington Have Shaped America.,9,0
846,Australian Leader Serves an Unsportsmanlike Warning to Putin.,13,0
847,"Deadly Earthquake Hits Japan, Adding to Summer of Misery.",13,0
848,Shifting Alliances Play Out Behind Closed Doors in Yemen .,13,0
849,Inquiry Faults Army Leadership in Anthrax Shipment.,11,0
850,Trump Immigration Policies Pose Conflict for Police in ‘Sanctuary Cities’.,14,0
851,Rockets Fired From Pakistan Pound Villages in Afghanistan.,11,0
852,China Overtakes U.S. at the Box Office.,13,0
853,Israel Intensifies Training of Settler Security Teams.,11,0
854,"Lee Radziwill, Ex-Princess and Sister of Jacqueline Kennedy Onassis, Dies at 85.",23,0
855,"As Violence Continues, Egyptian General Blames Protesters.",12,0
856,Justin Trudeau’s Official Home: Unfit for a Leader or Anyone Else.,17,0
857,"In Visit to Kandahar, Karzai Outlines Anti-Taliban Plan.",17,0
858,"Pandas, U.F.O.s and Other Curiosities from Britain’s National Archives.",23,0
859,"Belfast Bakery Was Free to Refuse Gay-Marriage Cake, Court Rules.",15,0
860,"Seconds After Release From Jail, Russia Arrests Aleksei Navalny Again.",16,0
861,"Trump Promotes Diplomatic Gains, but North Korea Continues Building Missiles.",14,0
862,"At the White House, an Eerie Quiet and Frustration With the Chief of Staff.",19,0
863,U.K. Court Says Mentally Disabled Woman Must Have Abortion.,15,0
864,"After Push in Marja, Marines Try to Win Trust.",13,0
865,Deaths Mount as Protests Catch Iraqi Government Off Guard.,12,0
866,"At Internment Camp, Exploring Choices of the Past.",12,0
867,"Senate Passes Revised NAFTA, Sending Pact to Trump’s Desk.",14,0
868,Teenager in ‘Slender Man’ Stabbing Gets 40 Years in Mental Hospital.,20,0
869,"Italian Populist Party Leader Who Once Backed Berlusconi Quits, Ending an Era.",20,0
870,"Migrants in Israel Face Uncertainty, Despite Oscar.",11,0
871,Egypt Rejects Criticism Over Airstrike That Killed Mexican Tourists.,14,0
872,British Citizens Flee Tripoli on Ship as 25 Libyans Are Reportedly Killed in Fighting.,22,0
873,China to Prosecute Pu Zhiqiang for Activism.,12,0
874,"Mexico: 4 Die in Car Bombing, Thought to Be First in Drug War.",19,0
875,Elaborate Suicide Attack Hits Christian Village in Lebanon.,11,0
876,Tibetan Writer’s Intellectual Journey Leads to Trial.,12,0
877,Syria Meets Deadline for Submitting Destruction Plan for Chemical Weapons .,13,0
878,"For Putin’s 4th Term, More a Coronation Than an Inauguration.",18,0
879,"Rusty Staub, Durable Batter Who Won Pennant With Mets, Dies at 73.",19,0
880,Elders Offer Help at Japan’s Crippled Reactor.,13,0
881,Ex-Envoy Says U.S. Stirs China-Japan Tensions.,18,0
882,Federal Executions to Resume Amid a Pandemic and Protests.,14,0
883,"London Mayor Raises Eyebrows, and Ire.",11,0
884,"Charles Peterson, Veteran Minor Leaguer and M.L.B. Scout, Dies at 46.",23,0
885,"As Relations Warm With Myanmar, U.S. Will Ease Trade Limits.",16,0
886,"As Moscow’s Landfills Near Limits, Recyclers Do Whatever It Takes .",18,0
887,Palestinian Said to Be Killed by Israeli Soldiers.,10,0
888,Florida Pastor Arrested After Defying Virus Orders.,10,0
889,"Pompeo Vows to Embrace Diplomacy, but Pledges Tougher Line on Russia.",19,0
890,"Senator Jeff Flake, Facing Twin Threats, Is Said to Take On G.O.P. Rift in New Book.",26,0
891,Big Screens That Not All of Hollywood Adores.,11,0
892,One More Relationship Tested by the Pandemic: Siblings.,11,0
893,Resignations Threaten Italian Coalition.,9,0
894,"For Brazilian Official and Family, Controversy Over a Trip.",12,0
895,Intercepts Solidify C.I.A. Assessment That Saudi Prince Ordered Khashoggi Killing.,21,0
896,"Mexican Opium Prices Plummet, Driving Poppy Farmers to Migrate.",13,0
897,Proposed Abortion Restrictions in Spain Face Backlash.,10,0
898,"Companies, Crews and Regulators Share Blame in Coast Guard Report on Oil Spill.",17,0
899,Italy Closes Consulate in Benghazi After New Attack.,11,0
900,"Congolese Politician, Jean-Pierre Bemba, Sentenced to 18 Years for War Crimes.",23,0
901,Thai Protesters Defy Order to Disperse.,11,0
902,Family of Captured Israeli Soldier Press for Deal.,11,0
903,Wealthy Businessman Charged in Murder Case That Rocked Malta.,14,0
904,"Missing in World War II, Unearthed in Germany and Now Back With His Family.",18,0
905,"As Voters on Left and Right Rebel, Glimpse of a Post-Merkel Germany.",20,0
906,"In Iran Elections, Conflicting Forecasts Emerge Along Rival Lines.",14,0
907,"Gene La Rocque, Decorated Veteran Who Condemned Waste of War, Dies at 98.",22,0
908,Genocide Trial of Guatemalan Ex-Dictator May Have to Restart.,16,0
909,"At U.N. Assembly, Sri Lankan Leader Aims to Lift Country’s Stature .",20,0
910,Fires Threaten Australian Towns That Have Already Burned Once.,14,0
911,"In India, Voting Begins in Elections Unmatched in Size and Scope.",15,0
912,The Pen Proves Mighty for an Unlikely Trump Correspondent.,13,0
913,Videos Deepen Mystery of Iranian Scientist.,9,0
914,"For Israelis and Palestinians, Another Divide to Contend With: Time.",15,0
915,"Sadiq Khan, New London Mayor, Bans Ads Promoting Unhealthy Body Image.",17,0
916,Federal Executions to Resume Amid a Pandemic and Protests.,14,0
917,Sunni Lawmakers to Boycott Iraqi Parliament Over Shiite Militias.,16,0
918,"In a World ‘So Upside Down,’ the Virus Is Taking a Toll on Young People’s Mental Health.",23,0
919,"Accusations ‘Grotesque,’ Nicolas Sarkozy Says of Inquiry.",15,0
920,Man Motivated by ‘Pizzagate’ Conspiracy Theory Arrested in Washington Gunfire.,19,0
921,"To Build a Ski Resort Under U.N. Sanctions, North Korea Turned to China.",19,0
922,"Gina Haspel, C.I.A. Deputy Director, Had Role in Torture.",19,0
923,Netanyahu Dressed Down After Appeal to Iranians.,11,0
924,"With Backpacks and Exposed Skin, European Officials Roil Iranians.",15,0
925,"U.S. Is Gaining in Afghanistan, General Writes.",14,0
926,U.S. Civilian Is Killed at Police Post in Kabul.,14,0
927,"For Some, Daw Aung San Suu Kyi Falls Short of Expectations in Myanmar.",18,0
928,Iran Says New U.S. Sanctions Violate Nuclear Deal.,14,0
929,Treasury Dept. Hits Russia With New Sanctions.,10,0
930,"Ukraine Bus Driver Pulls Into Train Path, Killing 41.",15,0
931,NATO Set to Ratify Pledge on Joint Defense in Case of Major Cyberattack.,17,0
932,"After Rockets Fired From Gaza, Israelis Strike Hamas Bases.",12,0
933,Biden Assails Russian Intervention in Ukraine as ‘Unacceptable’.,14,0
934,"Staff ‘Overwhelmed’ at Nuclear Plant, but U.S. Won’t Shut It.",21,0
935,Iran Hints at Rift With Atomic Agency if U.S. Quits Nuclear Deal.,18,0
936,Mali Government Is Left Reeling After Islamists Take Village Long Held by Army.,17,0
937,"Bolivia’s Evo Morales Faces Runoff, Early Election Returns Show.",14,0
938,"2,500 Pigs Join Debate Over Farms vs. Scenery.",16,0
939,Israeli Military Finds Flotilla Killings Justified.,11,0
940,Angela Merkel to Seek 4th Term as Germany’s Leader.,15,0
941,Zimbabwe: Robert Mugabe Seeks Elections and Vote on Constitution.,13,0
942,War Hero’s Family Suing in Its Decades-Long Fight to Identify Remains.,19,0
943,Syria Protests Cite Observers and a Truce as Faltering.,15,0
944,Israel to Step Up Pace of Construction in West Bank Areas.,13,0
945,"Mexico Breaks Up a Migrant Caravan, Pleasing White House.",13,0
946,Viral Video Gets Propaganda Treatment.,7,0
947,The Lives at the End of the Rockets’ Arc.,12,0
948,Saudi Elections Are First to Include Women as Voters and Candidates.,13,0
949,"Pakistani Party Leader Looks Forward, as Claims of Vote-Rigging Swirl.",18,0
950,Mystery Surrounds Death of Ukrainian Activist.,10,0
951,Unrest Follows Broadcast of Video Showing Prison Abuse in Georgia.,13,0
952,Taliban Chief Rebuked by Religious Leaders in Sign of Turmoil.,16,0
953,France: Protesters Block Train Carrying Nuclear Waste.,11,0
954,A Classified Matter at the White House: Obama’s Star-Studded Galas.,19,0
955,Group Blends Music and Food in a Town That Reveres Both.,15,0
956,Resignations Threaten Italian Coalition.,9,0
957,Scotland Faces More Hurdles if It Approves Independence.,12,0
958,Trump Cherry-Picks Coronavirus Data in Briefing Appearance.,12,0
959,"Antonia Brenner, ‘Prison Angel’ Who Took Inmates Under Her Wing, Is Dead at 86.",24,0
960,Body Count Rises as Philippine President Wages War on Drugs.,12,0
961,Trump’s Short-Term Health Insurance Policies Quickly Run Into Headwinds.,16,0
962,"In Paris, Cafe Terraces Are an Environmental Battleground.",13,0
963,"Fighting Starvation, Haitians Share Portions.",10,0
964,Iranian Exile Group Poses Vexing Issue for U.S. in Iraq.,17,0
965,At Stake When Xi and Trump Meet: The Possibility of a New Cold War.,17,0
966,"15 Sudanese Migrants Killed at Egypt-Israel Border, Officials Say.",16,0
967,Iraqi Parliament Wobbles Over Forming Government.,10,0
968,"In Targeting Ex-Premier, Thai Junta Takes a Risk .",13,0
969,"In Libya, Toothless U.N. Embargo Lets Foreign States Meddle With Impunity.",21,0
970,The Country Enters a Memorial Day Weekend to Remember (or Forget).,15,0
971,Deadly Earthquake Hits Northern Italy.,7,0
972,Syrian Family in Sweden Feels Tug of Ailing Sibling Left Behind.,16,0
973,"A City Celebrates a Brand New Stadium, but Not After 9 P.M. in Some Quarters.",23,0
974,‘No Deal’ Brexit Finding Favor With British Conservatives.,12,0
975,Spirit of Middle East Protests Doesn’t Spare Israel.,13,0
976,Israeli Soldier Discharged Over Killing of Unarmed Palestinian.,12,0
977,U.S. Couple Denied Permission to Leave Qatar While Appeal Is Pending.,16,0
978,Huge Protests in Honduras as Contested Vote Crisis Escalates.,14,0
979,A Priest Stands Up for the Migrants Who Run Mexico’s Gantlet.,17,0
980,When States Shut Down for Business.,8,0
981,"Afghanistan May Be Open to New Path, Kerry Says.",12,0
982,U.S. Orders Venezuelan Envoy in Miami to Leave.,13,0
983,"On Croatia’s Coast, Uber Takes Its Ride-Hailing App to the Seas.",19,0
984,One of the Deadliest Places on the Southwest Border.,12,0
985,‘This Is Appalling’: Evacuated London Residents Try to Cope.,16,0
986,"Overlooked No More: Ni Gusti Ayu Raka Rasmi, Balinese Dancer.",19,0
987,Ukraine Halts Repayments on $3.5 Billion It Owes Russia.,17,0
988,German Lawmakers Spar Over Child Care Subsidy.,11,0
989,"Migrant Boat Captain Steered Toward Tragedy in Mediterranean, Authorities Say.",15,0
990,"As Democrats Fret, Pelosi Vows to Act Again on Stimulus Plan Before Election.",18,0
991,"At Vatican, Mayors Pledge Climate Change Fight.",11,0
992,Saudi Arabia Detains Critics as New Crown Prince Consolidates Power.,14,0
993,"Migration Crisis Puts Europe’s Policy Missteps Into Focus, Experts Say.",16,0
994,Georgia Knocks Stalin Off His Pedestal.,10,0
995,"Missing Americans in Baghdad Taken From Apartment, Officials Say.",12,0
996,"North Dakotans Reconsider a Corporate Farming Ban, and Their Values.",16,0
997,Throngs Enticed by ‘Game of Thrones’ Threaten a Magical City.,18,0
998,Puerto Rico’s Financial Woes Revive Calls for Independence.,14,0
999,Gatlinburg Residents Return Home to Wildfire Destruction.,12,0
1000,Japan Prime Minister Survives No-Confidence Vote.,11,0
1001,"Spain’s Premier Steps Up, With Caveats for Europe.",14,0
1002,"The Language Divide, Writ Small, in Belgian Town.",12,0
1003,Chávez Heir Faces Challenge in Ties With Armed Forces.,13,0
1004,"Marlon James, Jamaican Novelist, Wins Man Booker Prize.",14,0
1005,"For Some Italians, the Future of Work Looks Like the Past.",14,0
1006,"Norway Apologizes, 70 Years Later, to Women Who Had Relationships With WWII Germans.",21,0
1007,What Historians Will See When They Look Back on the Covid-19 Pandemic of 2020.,24,0
1008,Trump Tells Republicans Not to Undercut Him on ZTE.,12,0
1009,"U.S. Tries to Bolster Taiwan’s Status, Short of Recognizing Sovereignty.",20,0
1010,North Korea Reported to Test Short-Range Missiles.,12,0
1011,Fraud Arrests May Be Turning Point for Polygamist Sect.,14,0
1012,"A Last Holdout on Divorce, Philippines Tiptoes Toward Legalization.",15,0
1013,Israel Roiled After Chomsky Barred From West Bank.,12,0
1014,Shrinking Europe Military Spending Stirs Concern.,10,0
1015,Glass Beads Made in Czech Village Adorn Bodies of the World’s Tribes.,17,0
1016,Britons Pause to Vote in an Election Many Did Not Want.,14,0
1017,"Ex-Lair of Tyrant, Now Just Any Place.",14,0
1018,Border Deployment Will Take Weeks.,7,0
1019,Amanda Knox in Italy: ‘I Am Not a Monster’.,13,0
1020,Israeli Defense Minister Keeps All Options Open on Iran.,11,0
1021,"Red Tape Untangled, Young Nepalese Monks Find Ride to Safety.",15,0
1022,Venezuela Opposition Takes Reins of Assembly as Tensions Rise.,13,0
1023,Palestinian Authority Bans Activities by Gay Rights Group.,10,0
1024,Dave Purchase Dies at 73; Led Early Needle Exchange.,14,0
1025,"Recy Taylor, Who Fought for Justice After a 1944 Rape, Dies at 97.",24,0
1026,Mexico’s Hardball Politics Get Even Harder as PRI Fights to Hold On to Power.,19,0
1027,A Proposed Hiking Ban in Phoenix Draws Outrage.,11,0
1028,U.S. Halt in Visa Services Leaves Cuban Families in Limbo.,16,0
1029,"Before Vote, Old Rivalries Threaten Fresh Start in Libya.",14,0
1030,T.S.A. Tests New Screening Procedures for Larger Electronics.,15,0
1031,From ‘Copenhell’ to ‘Copenheaven’: Danish Church Takes Over Heavy Metal Venue.,21,0
1032,Secret Service Dreams of a New (14-Foot) White House Picket Fence.,19,0
1033,Famine Ravages Somalia in a World Less Likely to Intervene.,15,0
1034,South Korea Retaliates Against Japan in Trade and Diplomatic Rift.,14,0
1035,Russians See Church and State Come Closer.,10,0
1036,Strikes by Taxi Drivers Spread Across China .,10,0
1037,Hungary’s Lawmakers Reject Plan to Block Resettlement of Refugees.,15,0
1038,"With Cost-Cutting Zeal, Tillerson Whittles U.N. Delegation, Too.",19,0
1039,"Aquarium on Ice, a Lure for Skaters in Japan, Appalls Them Instead.",19,0
1040,"Duterte Says, ‘My Only Sin Is the Extrajudicial Killings’.",16,0
1041,Navy Deploying Laser Weapon Prototype Near Iran.,10,0
1042,P.R.I. Closes In on Narrow Victory in State of Mexico Governor’s Race.,21,0
1043,Turkey: Leftists Retract Their Claim About an Attack.,13,0
1044,Trump Officials Offer Mixed Signals on Trade Deal With China.,12,0
1045,"Preparations for Rio Olympics ‘the Worst,’ Committee Official Says.",14,0
1046,France’s World Cup Win Is a ‘National Relief’ After Attacks and Racial Tension.,19,0
1047,Why Trump Has No Power to Delay the 2020 Election.,16,0
1048,"Burundi Crackdown Puts Hutus and Tutsis, and the West, on Edge.",20,0
1049,China Says It Is Building Its Second Aircraft Carrier.,11,0
1050,"Japan Fire Killed Mostly Women, at a Studio Known for Hiring Them.",15,0
1051,Russia Moves to Extend Control of Media.,9,0
1052,Unearthing Doubts About Caravaggio’s Remains.,13,0
1053,Court Grants Secrecy for Memo on Phone Data.,11,0
1054,‘A Bomb on the Doorstep’: Venezuela Fishermen Fight an Oil Giant.,17,0
1055,Security Questions Are Raised by Break-In at a Nuclear Site.,14,0
1056,"In Alaska, Two Names Not on the Ballot Play Roles.",13,0
1057,Self-Immolation Is on the Rise in the Arab World.,14,0
1058,Mexico Puts Its Children on a Diet.,9,0
1059,"After ’09 Fraud, Afghanistan Reports a Cleaner Election.",13,0
1060,3 French Athletes Are Mourned After Argentine Air Crash .,12,0
1061,"Overlooked No More: Fannie Farmer, Modern Cookery’s Pioneer.",16,0
1062,"Robert Rheault, Green Beret Ensnared in Vietnam Murder Case, Dies at 87.",22,0
1063,An Ocean Engineer and a Nuclear Physicist Walk Into Congress ….,13,0
1064,2 Israelis Charged in Deadly Attack on Palestinian Family in West Bank.,14,0
1065,Russian Jet Crashes Off Syria While Trying to Land on Carrier Kuznetsov.,16,0
1066,They’re Going to Need a Bigger Gift Shop.,12,0
1067,"Smothered by Smog, Polish Cities Rank Among Europe’s Dirtiest.",18,0
1068,From Hong Kong Pencil Pusher to Political Firebrand.,12,0
1069,Top Member of Taliban in Pakistan Is Captured.,11,0
1070,"As Migrants Risk Crossing the English Channel, French Fishing Boats Pay a Price.",17,0
1071,A Laboratory for Revitalizing Catholicism.,8,0
1072,"A Ukraine Factory That Can’t Close, and Workers Who Won’t Quit.",18,0
1073,Fear Keeps Thousands of South Sudanese on the Run.,11,0
1074,India’s Voters Expected to Give Modi a Mandate.,12,0
1075,"For Boris Johnson, a Perilous Week Negotiating Terrorism and Trump.",15,0
1076,Opposition in Syria Continues to Fracture.,8,0
1077,"Jeanne Guillemin, Who Exposed Soviet Anthrax Lab, Dies at 76.",18,0
1078,Norway Mass Killer Gets the Maximum: 21 Years.,13,0
1079,"Xi Delivers Tough Speech on Hong Kong, as Protests Mark Handover Anniversary.",19,0
1080,"John A. Hoyt, Champion for Animals, Is Dead at 80.",17,0
1081,Hospital Mergers Reset Abortion-Access Battle.,10,0
1082,Supreme Court to Rule on N.C.A.A. Limits on Paying College Athletes.,20,0
1083,"Despite Authoritarian Rule, Myanmar Art Grows.",10,0
1084,Snowden Defends Query to Putin on Surveillance.,11,0
1085,Report Lists Perils for Envoys After U.S. Leaves Iraq.,17,0
1086,U.N. Says 7 Billion Now Share the World.,14,0
1087,Iran Fights Malware Attacking Computers.,8,0
1088,"On Visit to Rwanda, Sarkozy Admits ‘Grave Errors’ in 1994 Genocide.",21,0
1089,Modi’s Push for a Hindu Revival Imperils India’s Meat Industry.,17,0
1090,Viral Video Gets Propaganda Treatment.,7,0
1091,"Archie Spigner, ‘Godfather of Politics’ in Queens, Dies at 92.",20,0
1092,Returning to Civilian life.,6,0
1093,Virginia Governor Finds Jollity Is No Guarantee Against Gridlock.,14,0
1094,"South Koreans, Seeking New Zest for Life, Experience Their Own Funerals.",17,0
1095,Australian Media Redact Their Front Pages to Protest Secrecy Laws.,14,0
1096,"Boeing Offers Details on Iran Deal, Saying All Was Done Legally.",15,0
1097,Radioactive Boars in Fukushima Thwart Residents’ Plans to Return Home.,16,0
1098,Troops Enter Gambia as New President Is Sworn In.,13,0
1099,British Forces Rush to Help Afghans Hold Off Taliban in Helmand.,14,0
1100,"India Set to Stage an Epic Show, With Trump as the Star.",15,0
1101,"Africa Braces for Coronavirus, but Slowly.",10,0
1102,Kerry Presses Iranians to Prove Nuclear Work Is for Peaceful Purposes.,14,0
1103,"Two More Sets of Signals Detected, Australian Officials Say.",12,0
1104,"Pierre Troisgros, Renowned French Restaurateur, Dies at 92.",18,0
1105,Xenophobic Chill Descends on Moscow.,9,0
1106,Hagel Warns of Big Squeeze at the Pentagon.,12,0
1107,Egyptian Photojournalist Is Released After 5 Years in Prison.,13,0
1108,"Nils Nilsson, 86, Dies; Scientist Helped Robots Find Their Way.",17,0
1109,South Korea Rules Anti-Abortion Law Unconstitutional.,13,0
1110,"After Raid, Indian Guru’s Protest Stirs a Firestorm.",15,0
1111,Medvedev Defends Plan to Trade Places With Putin.,12,0
1112,Airlines Refuse to Transport Radical Cleric.,9,0
1113,Fire Kills 38 at Seniors Home in China.,12,0
1114,Senators Returning to Square Off Head to Head Over Replacing Scalia .,15,0
1115,"Top Aide to Kim Jong-un Is Bound for U.S., Trump Says.",18,0
1116,Secret Service Chief Reviews White House Breaches.,10,0
1117,A Pakistani Scholar Accused of Blasphemy Is Shot Dead.,13,0
1118,Battle Lines Over Trump’s Lands Policy Stretch Across 640 Million Acres.,18,0
1119,Protest of Thousands in Cairo Turns Violent.,9,0
1120,Malaysia Closes Investigation Into Prime Minister Najib Razak’s Funds.,14,0
1121,Mexican Election Officials Confirm Presidential Victory.,8,0
1122,Sympathy Is Short-Lived for Irish Minority Group After Deadly Fire .,16,0
1123,Senate Democrats Lobby for a Reprieve for Some Who Failed to Get Insurance.,16,0
1124,"In Thailand’s Schools, Vestiges of Military Rule.",13,0
1125,"Bomb Took 3 Limbs, but Not Photographer’s Can-Do Spirit.",18,0
1126,F.A.A. Says Air Traffic Staffing Is Returning to Normal.,16,0
1127,Egypt Rejects Criticism Over Airstrike That Killed Mexican Tourists.,14,0
1128,"In Virginia Trial of McDonnell and Wife, an Imposing Judge Sets the Pace.",17,0
1129,"In the Heart of Beijing, a Taiwanese Pop Idol Makes Fans Swoon.",16,0
1130,"Case Against Argentine President, Brought by Prosecutor Who Died, Is Dismissed .",16,0
1131,Laos Presses Ahead With Mekong Dam Project.,9,0
1132,World Bank Scales Back Project in China’s Xinjiang Region.,13,0
1133,Chávez Says His Cancer Shows Sign of Return.,12,0
1134,Brazil’s Plan Isn’t What Doctors Would Order.,13,0
1135,Berlin Exhibition on Judaism Hits a Nerve.,9,0
1136,Talking to Kids About Racism.,7,0
1137,Iran’s President Defends Yemeni Rebel Attack on Saudi Capital.,15,0
1138,India Asks Pakistan to Investigate Root of Panic.,11,0
1139,Politics Trumps Gender in the Selection of a U.N. Leader.,16,0
1140,Judge Throws Out Most Serious Charges in Penn State Hazing Case.,14,0
1141,"States’ Votes for Gay Marriage Are Timely, With Justices Ready to Weigh Cases.",17,0
1142,"Jeanne Guillemin, Who Exposed Soviet Anthrax Lab, Dies at 76.",18,0
1143,South Korea Vote Will Change Policy Toward North.,10,0
1144,Coalition of Factions From the Streets Fuels a New Opposition in Syria.,16,0
1145,French Actor Arrives in Russia With Sights on Citizenship.,13,0
1146,"Baucus, Powerful Montana Democrat, Will Leave Senate.",12,0
1147,Census Data Presents Rise in Multiracial Population of Youths.,13,0
1148,German Priests Carried Out Sexual Abuse for Years.,10,0
1149,U.K.’s New Immigration Rules Will Restrict Low-Skilled Workers.,18,0
1150,Midterm Election Results: 4 Key Takeaways.,11,0
1151,"Torture Victim, Expecting a U.S. Handshake, Was Given Handcuffs Instead.",22,0
1152,Struggle Looms on Controlling Deficit Spending.,10,0
1153,Spring in Transylvania: Wake Up and Splash (or Be Splashed).,15,0
1154,Myanmar and U.N. Agree to Aim for Repatriation of Rohingya.,18,0
1155,"Russia, Already Reinserting Itself in Middle East, Enters Israeli-Palestinian Fray.",19,0
1156,Jellyfish Invasion Paralyzes Swedish Reactor.,9,0
1157,"U.S. Military Offers Support, but Not Troops, to Aid France in Africa.",19,0
1158,Drug Gang Suspected in Mexico Party Massacre.,10,0
1159,"Egyptian Police Confiscate Newsletter, Arrest Sign Holders and Close Grocery Stores.",16,0
1160,Party of South Korea’s President Loses Majority in Parliament.,14,0
1161,"From Canada’s Legal High, a Business Letdown.",13,0
1162,"As the Virus Surges, Stark Differences Over What Is Around the Corner.",16,0
1163,U.S. Declines to Sign Declaration Discouraging Use of Cyberattacks.,17,0
1164,Fugitive Trades Fire With Troops in South Korea.,11,0
1165,New U.S. Envoy Urges China to Relax Business Restrictions.,15,0
1166,Chinese Artist Repaying His Loans.,8,0
1167,Florida Struggles to Overcome Threats to Freshwater Springs.,11,0
1168,"In Turkey, Mourning the Dissident Khashoggi While Cracking Down on Dissent.",17,0
1169,Conventions Draw Crowds but Sway Few Voters.,11,0
